raw,parsing,pose,annotate
./data/MPII_sample1/061443365.jpg,./data/MPII_sample1_parsing/061443365_vis.png,./data/MPII_sample1_pose/061443365_rendered.png,"canoeing, on camping trip (Taylor Code 270)"
./data/MPII_sample1/099556890.jpg,./data/MPII_sample1_parsing/099556890_vis.png,./data/MPII_sample1_pose/099556890_rendered.png,"bicycling, general"
./data/MPII_sample1/099363014.jpg,./data/MPII_sample1_parsing/099363014_vis.png,./data/MPII_sample1_pose/099363014_rendered.png,basketball
./data/MPII_sample1/067767377.jpg,./data/MPII_sample1_parsing/067767377_vis.png,./data/MPII_sample1_pose/067767377_rendered.png,riding in a bus or train
./data/MPII_sample1/009986735.jpg,./data/MPII_sample1_parsing/009986735_vis.png,./data/MPII_sample1_pose/009986735_rendered.png,trimming shrubs or trees
./data/MPII_sample1/083990395.jpg,./data/MPII_sample1_parsing/083990395_vis.png,./data/MPII_sample1_pose/083990395_rendered.png,windsurfing
./data/MPII_sample1/094125906.jpg,./data/MPII_sample1_parsing/094125906_vis.png,./data/MPII_sample1_pose/094125906_rendered.png,"fishing, dip net, setting net and retrieving fish, general"
./data/MPII_sample1/076196284.jpg,./data/MPII_sample1_parsing/076196284_vis.png,./data/MPII_sample1_pose/076196284_rendered.png,cooking or food preparation
./data/MPII_sample1/075777656.jpg,./data/MPII_sample1_parsing/075777656_vis.png,./data/MPII_sample1_pose/075777656_rendered.png,"vacuuming, general, moderate effort"
./data/MPII_sample1/052319225.jpg,./data/MPII_sample1_parsing/052319225_vis.png,./data/MPII_sample1_pose/052319225_rendered.png,touringtravelingvacation involving riding in a vehicle
./data/MPII_sample1/006240232.jpg,./data/MPII_sample1_parsing/006240232_vis.png,./data/MPII_sample1_pose/006240232_rendered.png,"flute, sitting"
./data/MPII_sample1/006114618.jpg,./data/MPII_sample1_parsing/006114618_vis.png,./data/MPII_sample1_pose/006114618_rendered.png,circuit training
./data/MPII_sample1/093671948.jpg,./data/MPII_sample1_parsing/093671948_vis.png,./data/MPII_sample1_pose/093671948_rendered.png,"badminton, competitive (Taylor Code 450)"
./data/MPII_sample1/082853858.jpg,./data/MPII_sample1_parsing/082853858_vis.png,./data/MPII_sample1_pose/082853858_rendered.png,"bicycling, racing and road"
./data/MPII_sample1/019494277.jpg,./data/MPII_sample1_parsing/019494277_vis.png,./data/MPII_sample1_pose/019494277_rendered.png,"slimnastics, jazzercise"
./data/MPII_sample1/012292068.jpg,./data/MPII_sample1_parsing/012292068_vis.png,./data/MPII_sample1_pose/012292068_rendered.png,"hunting, general"
./data/MPII_sample1/059782138.jpg,./data/MPII_sample1_parsing/059782138_vis.png,./data/MPII_sample1_pose/059782138_rendered.png,"standing, talking in church"
./data/MPII_sample1/053655467.jpg,./data/MPII_sample1_parsing/053655467_vis.png,./data/MPII_sample1_pose/053655467_rendered.png,"polishing floors, standing, walking slowly, using electric polishing machine"
./data/MPII_sample1/094378889.jpg,./data/MPII_sample1_parsing/094378889_vis.png,./data/MPII_sample1_pose/094378889_rendered.png,soccer
./data/MPII_sample1/063137533.jpg,./data/MPII_sample1_parsing/063137533_vis.png,./data/MPII_sample1_pose/063137533_rendered.png,"rope skipping, general"
./data/MPII_sample1/063495152.jpg,./data/MPII_sample1_parsing/063495152_vis.png,./data/MPII_sample1_pose/063495152_rendered.png,"upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate"
./data/MPII_sample1/085614957.jpg,./data/MPII_sample1_parsing/085614957_vis.png,./data/MPII_sample1_pose/085614957_rendered.png,"tai chi, qi gong, general"
./data/MPII_sample1/084102764.jpg,./data/MPII_sample1_parsing/084102764_vis.png,./data/MPII_sample1_pose/084102764_rendered.png,resistance training
./data/MPII_sample1/062182409.jpg,./data/MPII_sample1_parsing/062182409_vis.png,./data/MPII_sample1_pose/062182409_rendered.png,"eating, sitting"
./data/MPII_sample1/083914661.jpg,./data/MPII_sample1_parsing/083914661_vis.png,./data/MPII_sample1_pose/083914661_rendered.png,golf
./data/MPII_sample1/046786991.jpg,./data/MPII_sample1_parsing/046786991_vis.png,./data/MPII_sample1_pose/046786991_rendered.png,washing and waxing car
./data/MPII_sample1/067945414.jpg,./data/MPII_sample1_parsing/067945414_vis.png,./data/MPII_sample1_pose/067945414_rendered.png,horse racing
./data/MPII_sample1/046332890.jpg,./data/MPII_sample1_parsing/046332890_vis.png,./data/MPII_sample1_pose/046332890_rendered.png,"yoga, Power"
